data_vencimento,preco,data_preco
Dez-25,0.149,hoje
Jan-26,0.14894,hoje
Fev-26,0.14888,hoje
Mar-26,0.1484,hoje
Abr-26,0.14775,hoje
Mai-26,0.14685,hoje
Jun-26,0.1456,hoje
Jul-26,0.14435,hoje
Ago-26,0.14275,hoje
Set-26,0.14135,hoje
Out-26,0.1403,hoje
Nov-26,0.13895,hoje
Dez-26,0.1377,hoje
Jan-27,0.13665,hoje
Abr-27,0.13405,hoje
Jul-27,0.13185,hoje
Out-27,0.1302,hoje
Jan-28,0.1289,hoje
Abr-28,0.1283,hoje
Jul-28,0.1282,hoje
Out-28,0.1283,hoje
Jan-29,0.1284,hoje
Abr-29,0.12875,hoje
Jul-29,0.12935,hoje
Out-29,0.1297,hoje
Jan-30,0.13015,hoje
Jul-30,0.13095,hoje
Jan-31,0.13175,hoje
Jan-32,0.13325,hoje
Jan-33,0.13385,hoje
Jan-34,0.13435,hoje
Jan-35,0.1346,hoje
Jan-36,0.1345,hoje
Jan-37,0.1346,hoje
Jan-38,0.1338,hoje
Jan-39,0.13335,hoje
Dez-24,0.11156,um_ano_atras
Jan-25,0.1142,um_ano_atras
Fev-25,0.11608,um_ano_atras
Mar-25,0.1185,um_ano_atras
Abr-25,0.1205,um_ano_atras
Mai-25,0.1226,um_ano_atras
Jun-25,0.1243,um_ano_atras
Jul-25,0.1261,um_ano_atras
Ago-25,0.1274,um_ano_atras
Set-25,0.12845,um_ano_atras
Out-25,0.13005,um_ano_atras
Nov-25,0.13065,um_ano_atras
Jan-26,0.13235,um_ano_atras
Abr-26,0.1337,um_ano_atras
Jul-26,0.13445,um_ano_atras
Out-26,0.13455,um_ano_atras
Jan-27,0.1344,um_ano_atras
Abr-27,0.1342,um_ano_atras
Jul-27,0.1342,um_ano_atras
Out-27,0.1338,um_ano_atras
Jan-28,0.13355,um_ano_atras
Abr-28,0.1331,um_ano_atras
Jul-28,0.13315,um_ano_atras
Out-28,0.13285,um_ano_atras
Jan-29,0.1325,um_ano_atras
Abr-29,0.13165,um_ano_atras
Jul-29,0.1317,um_ano_atras
Out-29,0.1317,um_ano_atras
Jan-30,0.1318,um_ano_atras
Jan-31,0.1309,um_ano_atras
Jan-32,0.1301,um_ano_atras
Jan-33,0.1296,um_ano_atras
Jan-34,0.1287,um_ano_atras
Jan-35,0.1284,um_ano_atras
Jan-39,0.1268,um_ano_atras
Dez-22,0.13666,tres_anos_atras
Jan-23,0.13696,tres_anos_atras
Fev-23,0.13736,tres_anos_atras
Mar-23,0.13765,tres_anos_atras
Abr-23,0.13795,tres_anos_atras
Mai-23,0.1382,tres_anos_atras
Jun-23,0.13875,tres_anos_atras
Jul-23,0.139,tres_anos_atras
Ago-23,0.1384,tres_anos_atras
Set-23,0.13935,tres_anos_atras
Out-23,0.13835,tres_anos_atras
Nov-23,0.13785,tres_anos_atras
Jan-24,0.1369,tres_anos_atras
Abr-24,0.13525,tres_anos_atras
Jul-24,0.1331,tres_anos_atras
Out-24,0.13085,tres_anos_atras
Jan-25,0.12915,tres_anos_atras
Abr-25,0.12825,tres_anos_atras
Jul-25,0.1278,tres_anos_atras
Out-25,0.12705,tres_anos_atras
Jan-26,0.12735,tres_anos_atras
Abr-26,0.1281,tres_anos_atras
Jul-26,0.12735,tres_anos_atras
Out-26,0.128,tres_anos_atras
Jan-27,0.1272,tres_anos_atras
Abr-27,0.12805,tres_anos_atras
Jul-27,0.1279,tres_anos_atras
Out-27,0.12775,tres_anos_atras
Jan-28,0.1273,tres_anos_atras
Jan-29,0.1278,tres_anos_atras
Jan-30,0.128,tres_anos_atras
Jan-31,0.1281,tres_anos_atras
Jan-32,0.1279,tres_anos_atras
Jan-33,0.1281,tres_anos_atras
Dez-20,0.01906,cinco_anos_atras
Jan-21,0.01925,cinco_anos_atras
Fev-21,0.01955,cinco_anos_atras
Abr-21,0.0208,cinco_anos_atras
Mai-21,0.022,cinco_anos_atras
Jun-21,0.0231,cinco_anos_atras
Jul-21,0.02425,cinco_anos_atras
Ago-21,0.0259,cinco_anos_atras
Set-21,0.02775,cinco_anos_atras
Out-21,0.0292,cinco_anos_atras
Nov-21,0.0306,cinco_anos_atras
Jan-22,0.0334,cinco_anos_atras
Abr-22,0.038,cinco_anos_atras
Jul-22,0.0421,cinco_anos_atras
Out-22,0.0461,cinco_anos_atras
Jan-23,0.0492,cinco_anos_atras
Abr-23,0.0525,cinco_anos_atras
Jul-23,0.0555,cinco_anos_atras
Out-23,0.0583,cinco_anos_atras
Jan-24,0.0603,cinco_anos_atras
Abr-24,0.0622,cinco_anos_atras
Jul-24,0.0639,cinco_anos_atras
Out-24,0.0657,cinco_anos_atras
Jan-25,0.0668,cinco_anos_atras
Abr-25,0.068,cinco_anos_atras
Jul-25,0.0691,cinco_anos_atras
Out-25,0.0702,cinco_anos_atras
Jan-26,0.0709,cinco_anos_atras
Jul-26,0.0727,cinco_anos_atras
Jan-27,0.0743,cinco_anos_atras
Jan-28,0.077,cinco_anos_atras
Jan-29,0.0785,cinco_anos_atras
Jan-31,0.0815,cinco_anos_atras
Dez-15,0.1416,dez_anos_atras
Jan-16,0.1419,dez_anos_atras
Fev-16,0.1426,dez_anos_atras
Mar-16,0.1439,dez_anos_atras
Abr-16,0.1455,dez_anos_atras
Mai-16,0.14715,dez_anos_atras
Jun-16,0.14915,dez_anos_atras
Jul-16,0.1504,dez_anos_atras
Ago-16,0.15185,dez_anos_atras
Set-16,0.15295,dez_anos_atras
Out-16,0.15395,dez_anos_atras
Nov-16,0.1545,dez_anos_atras
Dez-16,0.1549,dez_anos_atras
Jan-17,0.1552,dez_anos_atras
Fev-17,0.1557,dez_anos_atras
Mar-17,0.156,dez_anos_atras
Abr-17,0.1563,dez_anos_atras
Jul-17,0.1574,dez_anos_atras
Out-17,0.1576,dez_anos_atras
Jan-18,0.1574,dez_anos_atras
Abr-18,0.1576,dez_anos_atras
Jul-18,0.1579,dez_anos_atras
Out-18,0.1577,dez_anos_atras
Jan-19,0.1576,dez_anos_atras
Abr-19,0.1575,dez_anos_atras
Jul-19,0.1575,dez_anos_atras
Out-19,0.157,dez_anos_atras
